gsis_id,season,games_played,att_mean,att_std,epa_mean,epa_std,epa_per_att_mean,epa_per_att_std,ypa_mean,ypa_std,cmp_pct_mean,td_rate_mean,int_rate_mean,epa_min,epa_max,att_cv,epa_cv,epa_per_att_cv,games_positive_epa,pct_games_positive_epa
00-0035676,2021,2,1.0,0.0,-0.6257291650000001,0.16386657303097066,-0.6257291650000001,0.16386657303097066,0.0,0.0,0.0,0.0,0.0,-0.74160033,-0.509858,0.0,0.26188098972655466,0.26188098972655466,0.0,0.0
00-0035685,2021,1,1.0,,-3.17675,,-3.17675,,0.0,,0.0,0.0,1.0,-3.17675,-3.17675,,,,0.0,0.0
00-0035704,2019,5,31.2,5.449770637375485,2.7449854,10.95284400163472,0.12245002160413661,0.3601512389287341,6.713953823953824,2.708513843819115,0.6544781144781144,0.049711399711399706,0.01955026455026455,-11.684358,18.062159,0.17467213581331684,3.990128326961127,2.9412100889051,3.0,0.6
00-0035704,2020,13,34.07692307692308,11.954507786197489,-2.593759669230769,7.913059203572952,-0.17208284717239736,0.49290918264450767,6.58320730351737,1.8562223099643527,0.5528123976294708,0.0358480178310225,0.03161372229223812,-16.44461,9.9900465,0.3508094835678721,3.050806633106346,2.8643713812492746,6.0,0.46153846153846156
00-0035704,2021,6,18.5,7.286974680894672,-1.5364738666666664,5.035141809370689,-0.14491924660569983,0.37590137937362755,6.65551948051948,2.0357263969941974,0.5907792207792207,0.020555555555555553,0.031746031746031744,-9.433019,2.8207467,0.3938905232916039,3.27707611473684,2.5938678828243575,3.0,0.5
00-0035704,2023,4,19.0,15.033296378372908,-0.16343072749999987,3.8255968824810704,-0.13061992332111436,0.5374076040307499,6.495112414467253,4.350473405442263,0.510752688172043,0.02370478983382209,0.05779569892473118,-5.4822874,3.2654476,0.7912261251775214,23.40806371605409,4.114285098067268,2.0,0.5
00-0035710,2019,13,35.30769230769231,10.395388523961122,-3.1817584123076923,11.911626830883304,-0.08765187481405554,0.3199575855961138,6.408447623196175,1.6423663883329742,0.6268659030879924,0.04767822457846184,0.026378881642612224,-17.757883,25.374578,0.29442276865249367,3.743724471602462,3.6503222124440695,6.0,0.46153846153846156
00-0035710,2020,14,32.0,7.400623674341965,-1.677192102142857,7.154129536348397,-0.05128850665715751,0.26625061808698347,6.6423628857249515,1.150655675490091,0.6251132933074943,0.025047230702293755,0.021968118976302544,-14.106277,12.428664,0.2312694898231864,4.265539723927841,5.191233581175583,5.0,0.35714285714285715
00-0035710,2021,11,32.81818181818182,9.988174826445338,-1.131989187272727,10.245314518110805,-0.017137208139481577,0.25734190152943587,6.786191920077017,1.581885326800442,0.6358289003729477,0.028248107285188628,0.015245918941739376,-21.36183,16.378666,0.3043488174263122,9.050717651106352,15.016559257196535,5.0,0.45454545454545453
00-0035710,2022,18,29.666666666666668,7.933547533770012,1.058744068888889,8.486122672723718,0.046432712286718664,0.33097955398100043,6.901869919740992,1.7112795995656007,0.6739245804638225,0.03525465796180534,0.010052621163732274,-14.503513,13.611657,0.26742295057651727,8.015272927695904,7.128154649619119,10.0,0.5555555555555556
